crop_type,temperature,humidity,rainfall,soil_moisture,soil_ph,nitrogen,phosphorus,potassium,sunlight_hours,pest_activity,leaf_discoloration,growth_rate,previous_disease_history,disease_risk
Tomato,26.01,62.37,116.3,63.75,7.37,79.61,61.04,79.64,8.64,1,0,0.763,0,Low Risk
Potato,29.52,56.72,32.43,50.35,6.86,37.81,47.62,24.96,7.11,1,0,0.447,0,Medium Risk
Soybean,26.6,67.08,28.51,57.12,7.08,44.27,24.01,57.92,5.61,0,1,0.488,0,Medium Risk
Tomato,33.3,88.21,174.79,53.97,6.34,62.24,49.62,46.27,3.42,0,0,0.494,0,Medium Risk
Wheat,24.09,56.13,97.13,60.56,5.25,98.81,48.77,45.0,8.77,0,0,0.745,0,Low Risk
Wheat,34.63,65.61,132.37,66.08,5.79,40.88,18.14,36.16,7.31,1,0,0.438,1,Medium Risk
Wheat,27.61,84.58,125.43,63.4,6.61,48.14,60.05,55.1,6.65,1,1,0.692,0,Medium Risk
Sugarcane,32.11,70.17,140.93,46.31,5.38,36.88,3.24,51.21,6.9,1,0,0.736,0,Medium Risk
Wheat,21.93,53.48,181.27,70.1,6.32,108.04,51.11,55.14,10.21,0,0,0.616,0,Low Risk
Sunflower,32.05,67.7,110.94,42.45,5.86,39.39,47.44,25.13,5.37,1,0,0.514,1,High Risk
Barley,40.65,73.71,101.7,36.17,6.17,62.29,0.99,36.74,6.12,1,0,0.504,1,High Risk
Barley,23.0,56.12,143.77,56.47,6.69,81.72,43.7,65.54,8.78,0,0,0.692,1,Low Risk
Tomato,27.27,67.06,131.91,42.16,4.9,11.62,53.99,51.35,6.51,1,0,0.616,0,Medium Risk
Soybean,42.1,62.7,70.44,51.33,7.03,24.3,14.2,45.27,4.72,1,0,0.337,1,High Risk
Potato,22.47,57.95,203.98,64.51,6.03,88.25,66.94,48.7,12.2,0,0,0.82,0,Low Risk
Soybean,22.78,61.48,218.9,68.41,6.38,53.27,45.1,57.75,6.02,0,0,0.929,0,Low Risk
Potato,29.28,57.53,101.38,53.5,8.44,18.35,23.61,63.27,4.74,1,1,0.651,1,Medium Risk
Rice,29.69,97.34,93.78,50.89,6.88,33.47,42.3,45.49,6.54,0,1,0.767,1,Medium Risk
Soybean,22.26,70.33,126.37,56.7,7.05,48.51,42.81,47.63,3.14,0,1,0.5,0,Medium Risk
Soybean,22.33,74.16,221.61,66.04,6.75,73.6,55.24,58.03,9.82,0,0,0.878,1,Low Risk
Maize,27.09,65.43,59.01,40.85,6.38,54.75,20.29,47.69,9.37,0,0,0.694,0,Medium Risk
Rice,26.37,60.63,156.68,64.98,6.75,30.64,39.16,25.86,10.73,1,0,0.679,1,Medium Risk
Potato,26.96,63.16,133.57,54.93,5.31,66.11,61.22,57.14,8.67,0,0,0.931,0,Low Risk
Sugarcane,25.06,71.92,131.76,69.65,7.29,52.01,38.19,73.87,7.86,0,0,0.691,0,Low Risk
Sugarcane,17.46,68.56,192.11,55.27,6.68,70.58,42.65,61.72,7.34,0,0,0.918,0,Low Risk
Rice,34.98,70.95,32.26,51.42,6.31,40.57,42.35,54.11,8.0,1,1,0.72,1,Medium Risk
Maize,22.28,44.08,124.39,50.99,6.4,94.01,47.56,76.45,9.42,0,0,0.816,0,Low Risk
Wheat,17.85,81.6,96.39,71.53,6.42,61.5,47.01,60.2,8.34,0,0,0.722,0,Low Risk
Potato,22.56,52.43,125.75,78.63,6.78,74.93,44.41,72.07,11.29,0,1,0.828,0,Low Risk
Tomato,36.94,86.14,20.99,44.05,6.48,0.0,27.61,20.31,4.96,1,1,0.483,0,High Risk
Tomato,29.58,66.28,117.04,59.14,6.18,73.2,59.02,53.33,6.48,0,0,0.977,0,Low Risk
Maize,30.52,38.92,140.23,64.34,6.02,57.35,52.67,61.09,8.01,0,0,0.906,0,Low Risk
Potato,37.73,75.63,131.75,29.15,6.54,12.46,22.8,47.79,6.21,1,1,0.328,1,High Risk
Rice,32.84,67.12,52.91,48.21,5.84,43.05,39.04,58.86,8.0,0,0,0.671,1,Medium Risk
Sugarcane,39.96,74.46,16.29,37.39,6.1,17.5,15.32,28.11,4.76,1,1,0.327,1,High Risk
Soybean,31.14,84.64,156.61,44.7,5.61,62.57,30.16,40.3,5.41,0,1,0.718,0,Medium Risk
Potato,29.61,67.28,41.17,46.46,5.89,66.3,27.62,53.79,8.01,1,1,0.59,0,Medium Risk
Cotton,28.73,50.05,111.5,60.82,6.39,60.87,35.89,59.42,7.39,0,0,0.889,0,Low Risk
Wheat,27.35,57.39,163.8,72.87,5.94,90.49,43.77,90.3,8.9,0,0,0.728,0,Low Risk
Potato,21.46,45.37,54.6,58.19,7.56,80.95,52.73,49.72,9.5,0,0,0.808,0,Low Risk
Potato,27.14,68.94,156.9,54.55,5.84,76.65,34.46,32.17,5.84,0,1,0.517,0,Medium Risk
Sugarcane,35.83,92.23,25.18,32.32,5.95,13.44,3.78,32.7,6.08,1,1,0.325,0,High Risk
Sunflower,26.03,65.28,117.04,42.87,6.56,64.23,37.06,30.46,8.75,1,0,0.789,1,Medium Risk
Soybean,42.96,69.87,43.26,26.45,7.22,73.14,22.67,57.93,8.78,1,0,0.431,1,High Risk
Sugarcane,22.57,57.38,127.29,57.78,5.92,83.82,50.76,73.32,9.83,0,0,0.603,0,Low Risk
Soybean,41.19,78.16,56.48,43.07,7.3,44.09,37.4,37.37,6.94,1,1,0.423,1,High Risk
Barley,33.9,71.8,82.3,32.66,5.45,5.64,32.07,29.15,4.15,1,0,0.436,0,High Risk
Sunflower,28.92,88.44,67.41,53.29,6.9,43.49,22.93,37.82,6.63,1,1,0.525,1,High Risk
Sunflower,30.01,84.3,134.71,44.52,5.56,66.11,37.99,19.92,7.5,0,1,0.624,1,Medium Risk
Soybean,27.06,50.35,132.5,53.69,5.97,44.75,34.03,42.28,9.05,0,0,0.724,0,Medium Risk
Barley,31.75,69.58,148.65,50.04,6.55,35.6,50.26,36.1,5.21,1,0,0.385,1,Medium Risk
Wheat,27.81,53.78,142.74,70.78,6.94,67.39,54.41,62.59,8.7,0,0,0.947,0,Low Risk
Soybean,23.8,61.36,192.06,68.92,6.91,100.01,48.37,74.18,9.34,0,1,0.864,0,Low Risk
Tomato,22.39,42.86,162.7,57.04,7.05,45.88,42.06,60.06,8.06,0,0,0.889,0,Low Risk
Potato,20.74,62.85,88.08,56.67,5.89,57.99,55.3,54.47,8.35,1,0,0.696,0,Low Risk
Soybean,34.48,62.86,96.73,34.3,7.4,35.35,32.25,52.82,7.22,1,1,0.686,1,Medium Risk
Soybean,35.03,82.85,94.6,61.54,5.12,18.64,48.96,17.1,6.16,0,1,0.326,1,High Risk
Rice,30.74,37.7,155.68,70.37,6.28,52.45,48.7,81.38,7.08,0,0,0.964,1,Low Risk
Cotton,21.02,35.0,140.32,44.11,8.41,56.91,56.77,73.08,8.51,1,0,1.0,0,Low Risk
Tomato,32.71,71.43,94.6,46.07,6.58,12.61,29.06,26.99,6.55,0,1,0.397,0,High Risk
Barley,42.16,90.36,74.0,52.36,6.25,55.94,19.42,24.26,6.38,1,0,0.389,1,High Risk
Sunflower,30.53,86.07,96.84,40.99,6.53,38.91,23.85,17.15,5.39,0,1,0.381,1,High Risk
Soybean,24.54,56.31,174.98,86.41,7.36,64.57,64.59,45.25,7.15,0,0,0.891,0,Low Risk
Soybean,30.75,76.46,92.49,65.78,5.99,48.28,32.35,48.85,5.96,1,0,0.709,0,Medium Risk
Rice,22.72,37.21,112.4,64.77,7.7,68.54,53.93,73.33,6.78,0,0,0.857,0,Low Risk
Maize,29.97,67.82,114.32,49.7,6.31,56.45,52.55,40.3,6.2,1,0,0.688,1,Medium Risk
Potato,21.14,46.72,156.9,88.46,7.27,68.59,50.48,76.78,6.64,0,0,0.881,0,Low Risk
Wheat,35.59,77.8,83.68,28.5,5.72,20.72,35.62,34.67,5.26,0,1,0.495,1,High Risk
Barley,39.43,70.18,13.46,52.16,5.55,42.45,0.0,37.95,5.48,0,1,0.46,1,High Risk
Potato,36.3,91.77,68.59,33.13,6.81,7.24,31.76,12.88,6.01,1,1,0.537,1,High Risk
Barley,40.32,91.25,63.92,41.63,6.24,35.75,9.9,38.65,6.29,1,1,0.485,1,High Risk
Sugarcane,31.46,58.84,105.89,38.56,6.36,50.91,27.76,44.99,8.21,0,0,0.552,1,Medium Risk
Tomato,34.15,66.22,34.41,19.63,6.52,23.56,17.96,9.46,4.63,0,1,0.407,1,High Risk
Maize,16.8,57.5,98.04,51.51,6.98,72.43,48.47,76.03,7.57,0,0,0.943,0,Low Risk
Rice,20.57,66.25,83.97,61.75,6.86,62.74,47.28,59.43,8.95,0,0,0.973,1,Low Risk
Barley,31.48,74.63,37.13,29.94,6.56,27.08,31.6,32.06,3.7,1,1,0.208,1,High Risk
Rice,33.3,94.03,102.41,48.31,6.89,45.73,54.07,39.34,6.95,1,0,0.506,1,Medium Risk
Sugarcane,25.73,56.26,145.2,59.26,6.89,60.14,28.38,56.66,7.36,1,0,0.613,0,Medium Risk
Soybean,25.59,47.53,138.78,45.97,6.42,86.68,58.22,79.63,7.55,0,0,0.955,0,Low Risk
Rice,35.29,31.8,205.6,58.48,6.68,35.71,34.5,49.86,9.51,0,0,0.803,0,Medium Risk
Sunflower,26.32,65.11,90.43,70.15,6.5,90.29,47.54,53.41,8.04,0,0,0.83,0,Low Risk
Soybean,21.81,55.38,127.93,53.42,6.2,101.53,68.53,56.65,4.9,0,1,0.761,0,Low Risk
Maize,27.52,65.46,113.4,52.77,6.81,68.38,53.25,44.58,8.1,0,0,0.737,1,Medium Risk
Sunflower,29.35,58.69,144.77,71.05,4.85,62.28,40.81,59.52,4.7,0,0,0.952,0,Low Risk
Cotton,39.12,76.18,167.53,32.27,5.14,10.22,39.36,47.35,4.07,1,1,0.361,0,High Risk
Wheat,26.45,57.91,122.59,50.77,5.52,85.77,56.29,54.25,8.91,0,0,0.71,0,Low Risk
Rice,26.71,87.1,70.44,39.92,6.01,32.03,38.18,60.24,6.08,1,0,0.513,1,Medium Risk
Sunflower,29.79,79.26,134.81,45.13,7.58,38.83,57.51,53.31,6.41,1,0,0.548,0,Medium Risk
Sugarcane,32.03,69.42,148.49,59.53,5.75,54.1,17.97,46.86,7.91,0,1,0.519,1,Medium Risk
Barley,34.14,61.35,51.54,36.88,6.97,29.52,33.21,46.43,4.48,1,0,0.668,0,Medium Risk
Wheat,34.55,65.5,94.72,54.1,6.64,46.87,64.22,55.0,6.16,1,0,0.71,1,Medium Risk
Sugarcane,39.28,86.97,116.2,60.33,5.94,27.91,14.98,47.33,5.17,1,1,0.403,0,High Risk
Barley,28.89,42.87,185.16,50.66,7.05,58.94,54.22,81.49,9.4,0,0,0.728,0,Low Risk
Sunflower,34.0,83.2,114.39,42.3,5.98,46.07,50.97,28.2,4.24,0,0,0.686,0,Medium Risk
Rice,27.57,55.96,114.61,62.87,6.62,78.53,39.5,54.39,8.76,0,0,0.945,0,Low Risk
Rice,26.84,71.23,92.38,43.1,7.53,58.21,45.72,39.52,6.72,0,1,0.625,0,Medium Risk
Maize,28.02,63.19,212.14,63.85,6.47,87.18,58.39,91.43,9.44,0,0,0.835,0,Low Risk
Cotton,36.53,86.71,51.63,43.23,6.87,22.17,18.14,31.19,4.02,1,1,0.682,1,High Risk
Cotton,20.98,45.96,149.25,81.91,7.04,54.19,52.35,33.97,4.62,0,0,0.837,0,Low Risk
Barley,24.55,68.42,170.21,49.36,6.65,52.96,50.74,47.82,10.7,0,0,0.673,1,Medium Risk
Barley,38.58,77.18,133.78,48.3,6.93,41.72,51.54,34.86,6.63,1,1,0.566,0,Medium Risk
Sunflower,24.7,45.35,147.14,71.32,5.37,59.54,28.21,67.52,9.84,0,0,0.802,0,Low Risk
Sugarcane,36.19,88.11,54.76,33.54,6.73,44.59,40.88,24.7,6.84,0,1,0.454,0,High Risk
Barley,29.32,64.39,199.48,66.59,5.73,62.81,41.58,56.4,9.59,0,0,0.673,0,Low Risk
Maize,25.35,37.38,190.94,69.07,6.85,59.86,52.04,52.81,6.45,1,0,0.786,0,Low Risk
Wheat,25.46,53.72,164.95,78.75,5.63,70.57,67.73,44.7,7.12,1,0,0.643,0,Low Risk
Rice,23.89,54.68,153.42,58.11,5.32,58.48,52.94,56.51,7.77,0,0,0.788,0,Low Risk
Potato,24.09,58.72,131.51,59.21,6.24,66.45,42.89,80.39,4.25,0,0,0.628,1,Medium Risk
Rice,27.41,62.8,110.0,42.37,7.95,58.75,49.69,48.34,9.11,0,0,0.536,1,Medium Risk
Sunflower,28.27,73.72,126.91,31.99,7.09,21.38,30.45,31.28,7.3,0,0,0.671,1,Medium Risk
Tomato,31.61,82.26,166.06,54.29,6.62,27.22,30.44,41.07,5.72,0,0,0.675,0,Medium Risk
Sugarcane,29.11,58.38,101.72,49.25,7.67,55.82,36.16,75.92,8.51,0,0,0.726,0,Low Risk
Barley,37.91,79.0,93.93,42.55,5.77,27.36,27.07,40.08,7.63,1,1,0.599,1,High Risk
Sunflower,29.9,68.38,100.7,47.03,6.48,71.59,44.35,43.17,5.38,1,1,0.608,0,Medium Risk
Sunflower,20.27,56.56,116.62,58.71,6.93,65.53,68.89,66.77,6.01,0,0,0.852,1,Low Risk
Soybean,33.5,80.09,33.78,33.87,7.22,15.0,31.74,40.67,9.1,1,1,0.351,1,High Risk
Cotton,17.97,49.43,167.15,67.7,8.04,84.34,49.32,47.53,7.15,0,0,0.761,0,Low Risk
Potato,24.95,98.99,76.18,56.98,7.13,72.91,29.98,34.53,8.65,0,0,0.704,0,Medium Risk
Rice,36.54,73.95,150.11,33.56,5.8,67.76,39.51,30.45,7.94,1,1,0.597,0,Medium Risk
Sugarcane,30.6,65.06,127.96,53.09,7.89,56.97,15.75,36.12,8.22,1,1,0.633,0,Medium Risk
Rice,33.87,85.74,58.83,35.35,7.35,50.99,2.54,22.36,3.95,1,1,0.453,1,High Risk
Rice,21.72,64.6,213.68,51.86,6.74,76.25,37.11,40.83,6.63,0,0,0.815,0,Low Risk
Wheat,27.75,76.82,43.27,44.37,6.41,49.79,31.91,19.46,9.12,0,1,0.786,0,Medium Risk
Potato,31.41,65.15,134.28,69.51,6.82,66.75,23.83,56.38,7.76,0,1,0.758,1,Medium Risk
Sugarcane,28.34,53.65,127.85,29.98,6.38,76.71,33.61,25.41,6.83,0,1,0.619,0,Medium Risk
Barley,39.97,76.05,65.69,57.24,7.94,47.22,16.97,24.05,4.33,1,1,0.396,1,High Risk
Sugarcane,28.93,46.86,137.63,69.02,5.5,40.44,52.72,66.95,6.92,0,0,0.762,0,Low Risk
Tomato,35.94,85.35,121.72,36.87,6.09,12.11,50.19,37.0,8.82,1,1,0.594,1,Medium Risk
Tomato,23.85,44.85,151.64,68.29,5.75,75.46,40.05,62.82,9.29,0,0,0.607,0,Low Risk
Sugarcane,34.96,53.13,129.37,28.19,5.96,34.46,57.65,41.04,6.93,0,1,0.628,1,Medium Risk
Sugarcane,24.32,48.19,189.83,62.55,5.21,83.8,52.22,79.47,8.19,0,0,0.741,0,Low Risk
Barley,23.92,62.02,148.45,49.79,5.8,82.02,53.58,71.71,8.88,0,0,0.826,0,Low Risk
Potato,26.04,59.26,87.25,58.2,7.23,57.63,45.59,54.19,3.25,0,1,0.651,0,Medium Risk
Rice,20.55,38.43,167.15,57.17,6.39,82.09,38.03,66.53,10.98,0,0,0.722,1,Low Risk
Potato,24.96,70.18,152.4,64.3,6.67,28.98,32.36,61.39,8.23,1,0,0.547,0,Medium Risk
Soybean,28.41,66.51,154.83,73.12,6.49,90.39,48.22,50.49,10.72,0,0,0.818,0,Low Risk
Sunflower,21.52,52.17,156.89,65.2,6.8,61.6,51.2,54.75,5.85,0,0,0.843,0,Low Risk
Tomato,23.38,43.44,141.9,69.8,6.71,87.22,54.1,41.82,4.22,0,0,0.835,1,Low Risk
Wheat,28.33,63.92,92.35,66.87,6.09,74.99,38.56,38.21,7.4,1,0,0.839,1,Medium Risk
Sugarcane,29.0,69.55,9.38,38.0,6.42,18.35,36.32,44.76,5.89,1,1,0.582,1,Medium Risk
Barley,30.06,78.03,164.83,49.71,6.77,36.44,58.2,42.67,7.12,0,0,0.609,0,Medium Risk
Tomato,40.41,96.47,25.32,47.39,5.06,28.64,28.76,46.47,6.9,1,0,0.546,1,High Risk
Barley,28.58,47.23,212.35,44.7,7.64,64.41,47.09,33.54,7.32,0,1,0.716,0,Low Risk
Rice,37.24,75.74,146.63,37.2,5.51,25.07,3.79,0.0,5.34,1,0,0.403,1,High Risk
Sunflower,27.53,41.34,106.74,63.36,6.86,51.32,45.41,51.51,7.27,0,0,0.914,0,Low Risk
Cotton,38.76,82.68,63.99,47.86,5.23,36.62,24.73,26.85,6.57,0,1,0.553,1,High Risk
Maize,30.82,63.93,144.2,61.45,6.39,72.79,36.12,38.14,9.04,1,1,0.782,0,Medium Risk
Rice,29.9,71.56,136.25,54.36,6.89,30.56,57.75,49.53,8.4,1,1,0.708,0,Medium Risk
Cotton,30.01,70.82,70.04,32.03,5.97,18.65,28.52,28.18,4.99,1,1,0.266,0,High Risk
Sunflower,36.61,79.59,95.95,38.12,5.81,45.65,34.67,35.61,8.24,1,1,0.231,1,High Risk
Wheat,26.41,46.49,249.41,62.65,7.39,67.72,56.4,71.75,9.83,0,0,0.926,0,Low Risk
Sunflower,35.91,57.93,169.6,63.3,6.05,56.31,44.57,86.7,5.83,0,1,0.457,1,Medium Risk
Potato,30.79,51.24,87.75,65.31,7.5,75.09,65.12,39.34,2.83,0,0,0.76,0,Medium Risk
Potato,34.69,63.14,89.23,30.48,6.46,55.75,41.99,48.77,6.6,1,1,0.741,1,Medium Risk
Barley,36.07,65.77,0.0,53.97,6.76,22.0,28.01,32.73,5.89,1,1,0.771,0,Medium Risk
Rice,29.75,57.81,118.06,49.39,6.43,46.86,13.37,62.65,6.92,1,0,0.509,0,Medium Risk
Potato,38.07,84.16,49.63,22.97,5.83,27.22,24.71,50.24,8.62,1,0,0.408,1,High Risk
Rice,36.62,68.98,99.4,42.11,6.86,17.58,26.03,21.91,7.02,1,1,0.463,1,High Risk
Soybean,30.52,65.12,54.2,36.2,7.29,57.74,49.38,30.44,7.43,0,1,0.876,1,Medium Risk
Soybean,24.83,41.53,223.91,71.91,6.36,63.93,62.36,87.75,9.43,0,0,1.0,1,Low Risk
Potato,31.94,90.14,112.44,32.44,6.98,27.03,17.95,17.93,5.13,1,1,0.5,0,High Risk
Potato,25.62,53.08,163.81,51.5,6.45,60.38,28.35,66.75,6.15,0,0,0.804,0,Low Risk
Tomato,30.1,68.74,149.6,26.71,7.57,21.88,28.67,45.73,7.62,0,0,0.63,0,Medium Risk
Sunflower,33.8,78.92,112.02,26.32,6.98,51.07,61.94,71.53,8.65,0,1,0.512,0,Medium Risk
Cotton,38.99,89.15,109.99,46.8,5.39,41.05,26.82,0.0,6.41,1,0,0.376,1,High Risk
Sunflower,31.84,86.61,21.73,44.64,7.25,27.18,21.11,17.64,7.08,0,1,0.438,1,High Risk
Maize,21.3,68.23,115.62,74.17,7.64,40.74,51.11,54.4,3.63,0,0,0.676,0,Low Risk
Tomato,29.65,53.98,3.21,44.04,5.53,44.67,41.7,52.13,6.84,0,0,0.521,1,Medium Risk
Tomato,27.57,73.76,102.32,54.52,7.15,58.4,41.97,47.67,6.15,0,0,0.558,0,Medium Risk
Maize,33.72,81.99,12.08,50.88,6.68,26.27,24.98,17.57,7.2,1,1,0.355,1,High Risk
Maize,35.3,80.38,143.57,50.45,6.35,35.59,44.21,10.5,5.38,1,1,0.455,1,High Risk
Tomato,36.73,94.5,105.18,38.67,6.78,52.39,28.04,43.26,6.69,1,1,0.429,1,High Risk
Tomato,32.68,70.79,78.63,47.87,6.58,30.23,22.27,43.23,4.29,1,1,0.509,1,High Risk
Potato,39.92,68.13,53.55,64.01,5.17,25.53,30.71,3.72,4.37,1,1,0.62,1,High Risk
Wheat,24.33,51.92,197.93,69.81,5.47,87.95,21.99,68.57,9.05,1,0,0.989,0,Low Risk
Potato,23.51,55.96,105.04,65.63,7.02,52.0,45.76,55.91,6.99,0,0,0.704,0,Low Risk
Potato,28.16,66.15,73.59,29.66,5.97,46.84,29.01,47.44,6.29,1,0,0.45,1,High Risk
Maize,30.62,82.79,69.42,44.78,5.37,29.8,39.57,38.01,2.66,1,1,0.419,1,High Risk
Tomato,38.35,67.42,75.32,55.36,7.08,64.01,51.73,58.93,7.78,1,0,0.714,1,Medium Risk
Rice,34.23,77.24,132.79,52.7,6.85,68.42,37.37,50.27,6.54,0,0,0.652,1,Medium Risk
Cotton,24.44,63.98,97.6,43.2,6.47,82.26,41.14,58.72,7.15,1,1,0.483,0,Medium Risk
Cotton,38.02,93.71,36.22,15.84,6.67,5.68,33.33,30.05,7.8,1,1,0.425,1,High Risk
Potato,30.24,63.14,83.8,42.78,6.84,40.68,39.29,33.12,6.75,0,0,0.645,1,Medium Risk
Rice,32.29,76.48,59.47,61.33,5.52,17.17,14.84,52.04,5.88,1,1,0.31,0,High Risk
Sugarcane,36.46,67.61,94.54,53.44,6.6,43.39,15.83,43.57,4.44,1,1,0.432,1,High Risk
Cotton,31.44,66.96,96.8,52.57,6.56,37.3,48.79,58.79,5.98,0,0,0.969,0,Medium Risk
Sunflower,24.49,45.44,134.05,60.77,7.33,73.85,42.06,65.59,10.56,1,0,0.912,0,Low Risk
Rice,35.3,72.87,77.34,48.08,6.41,69.16,35.03,43.09,6.4,0,0,0.662,1,Medium Risk
Rice,43.72,70.65,34.5,25.27,5.52,39.49,14.85,35.05,7.48,1,0,0.511,1,High Risk
Cotton,39.52,67.13,85.52,22.04,5.96,28.8,13.61,28.22,6.75,1,1,0.336,0,High Risk
Maize,31.65,80.99,117.59,42.83,6.03,58.64,44.84,49.99,6.94,1,0,0.67,0,Medium Risk
Soybean,32.29,92.13,148.44,34.39,7.27,39.26,26.29,20.8,5.09,1,1,0.504,0,High Risk
Barley,26.39,65.67,207.68,61.89,5.16,69.25,55.24,45.93,7.6,0,0,0.692,0,Low Risk
Tomato,26.92,78.04,51.26,29.05,7.07,37.89,31.64,39.68,5.5,1,1,0.419,1,High Risk
Sunflower,29.08,80.05,28.18,44.27,8.05,49.79,32.27,51.64,5.57,0,0,0.417,0,Medium Risk
Sugarcane,33.1,94.29,121.07,51.78,6.04,60.1,8.5,40.35,7.55,1,0,0.675,0,Medium Risk
Maize,35.67,82.55,115.8,24.16,7.02,35.09,5.52,39.77,8.21,0,0,0.453,1,High Risk
Maize,33.69,82.54,77.22,46.08,7.71,20.62,36.98,47.09,6.73,1,0,0.808,0,Medium Risk
Sunflower,19.15,54.63,168.68,52.79,7.66,67.8,41.25,87.04,9.9,0,0,0.747,0,Low Risk
Wheat,22.84,26.85,186.23,49.61,6.07,80.74,51.43,53.83,4.95,0,0,0.95,0,Low Risk
Maize,30.65,75.75,165.68,59.38,6.91,39.17,30.19,20.86,7.58,0,0,0.661,1,Medium Risk
Rice,26.48,54.12,200.68,53.02,6.07,71.73,44.99,47.77,10.76,0,0,0.962,0,Low Risk
Sugarcane,32.08,67.09,153.73,36.29,6.01,45.05,46.55,48.06,10.22,0,0,0.569,0,Medium Risk
Soybean,27.09,61.79,102.75,50.77,6.48,49.97,18.49,77.65,7.35,1,1,0.694,0,Medium Risk
Tomato,34.99,73.79,140.19,39.8,6.5,38.75,52.35,25.99,3.72,1,0,0.508,0,Medium Risk
Maize,27.99,58.87,160.42,55.49,6.87,93.28,25.77,57.9,10.02,1,0,0.705,0,Low Risk
Tomato,26.86,81.85,140.16,46.79,7.16,49.45,37.35,52.4,8.19,0,0,0.75,0,Medium Risk
Potato,23.96,48.43,72.71,53.25,6.97,34.45,53.03,43.4,8.91,0,0,0.891,0,Low Risk
Barley,21.91,34.5,113.25,46.58,6.51,105.34,59.12,28.57,5.72,0,0,0.69,0,Low Risk
Cotton,34.56,80.59,23.17,44.7,6.46,22.05,10.85,34.88,3.86,1,1,0.473,1,High Risk
Cotton,31.97,46.68,128.0,58.53,7.09,73.12,34.49,52.55,7.09,0,0,0.812,0,Low Risk
Soybean,25.44,79.95,120.49,59.94,6.43,67.85,15.58,45.08,8.79,0,0,0.452,1,Medium Risk
Cotton,23.21,45.73,127.81,73.96,7.37,80.8,62.49,51.31,6.17,0,0,0.739,0,Low Risk
Soybean,21.4,65.44,184.71,62.83,5.56,78.78,58.56,60.66,9.83,0,0,0.752,0,Low Risk
Sugarcane,29.91,70.58,10.52,65.99,7.04,60.92,45.71,55.23,9.09,0,0,0.762,1,Medium Risk
Barley,30.97,63.41,88.03,46.64,6.82,62.54,20.67,17.75,5.57,0,0,0.609,1,Medium Risk
Rice,29.99,76.24,92.63,62.14,6.78,38.3,44.93,43.33,7.73,0,0,0.531,0,Medium Risk
Soybean,27.89,55.16,142.26,43.9,6.86,55.8,31.02,42.41,9.64,1,0,0.547,0,Medium Risk
Barley,31.74,73.68,111.85,55.65,6.72,36.64,45.57,31.66,5.4,0,1,0.671,0,Medium Risk
Cotton,26.27,81.32,136.67,59.89,5.18,64.35,38.3,56.59,5.2,0,1,0.831,0,Medium Risk
Cotton,23.77,62.96,124.99,44.87,5.6,36.63,40.07,51.76,8.63,1,0,0.728,1,Medium Risk
Barley,36.78,59.65,115.76,37.5,6.57,33.99,34.47,22.79,8.2,1,0,0.686,1,Medium Risk
Sugarcane,29.91,78.87,101.38,55.4,6.42,27.01,16.09,52.17,4.46,1,1,0.389,0,High Risk
Tomato,30.18,53.4,113.16,50.08,6.68,53.46,38.19,49.58,5.19,1,0,0.876,0,Medium Risk
Potato,27.46,67.07,146.42,59.95,7.24,61.92,63.86,31.67,7.47,0,0,0.839,1,Low Risk
Soybean,26.85,56.2,121.11,86.29,7.14,46.03,43.8,73.04,6.8,0,0,0.855,0,Low Risk
Cotton,32.13,66.33,89.28,52.27,6.1,65.51,52.11,46.01,6.34,1,1,0.673,0,Medium Risk
Tomato,20.3,39.02,136.92,57.87,6.85,61.97,56.14,87.09,9.22,1,0,0.815,0,Low Risk
Wheat,29.9,53.07,158.74,72.89,6.41,50.19,75.72,53.42,8.24,0,0,0.936,0,Low Risk
Maize,32.98,74.07,135.9,59.81,8.04,77.22,32.63,74.81,6.7,0,0,0.66,0,Medium Risk
Wheat,34.49,82.02,141.54,43.47,6.21,19.59,0.0,11.59,4.95,1,1,0.42,1,High Risk
Tomato,30.76,74.92,97.69,46.15,6.05,48.95,49.21,30.34,4.06,0,0,0.671,0,Medium Risk
Barley,24.24,64.68,157.8,49.14,7.19,75.31,23.77,77.44,9.31,0,0,0.854,0,Low Risk
Soybean,28.77,79.66,144.57,71.11,5.4,60.53,51.83,59.07,6.62,0,0,0.514,0,Medium Risk
Sugarcane,33.26,57.07,81.33,42.89,6.45,62.15,40.32,85.1,7.45,0,0,0.902,0,Low Risk
Tomato,30.99,51.81,79.32,45.46,7.07,54.24,40.25,51.49,8.55,0,1,0.655,1,Medium Risk
Maize,30.18,65.96,84.39,43.36,4.5,54.64,1.52,42.64,7.08,1,1,0.534,1,High Risk
Cotton,23.45,41.45,173.62,64.53,7.56,47.85,67.25,67.27,5.95,0,0,1.0,0,Low Risk
Potato,28.04,73.02,94.56,50.29,6.47,61.17,39.91,18.27,4.91,0,0,0.542,1,Medium Risk
Maize,24.01,60.3,119.57,48.03,7.94,72.81,61.26,62.93,9.58,0,1,0.828,0,Low Risk
Tomato,23.81,69.54,167.15,49.19,5.82,58.88,62.0,72.27,2.82,0,0,0.812,0,Low Risk
Wheat,26.69,49.27,95.76,64.15,6.95,50.26,46.32,76.81,8.9,0,0,0.78,0,Low Risk
Wheat,24.73,72.09,105.18,58.9,5.81,62.97,67.19,56.2,10.1,0,0,0.931,0,Low Risk
